language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.96  T=0.44 s (1109.7 files/s 382773.6 lines/s)"
JSON,./dashboards/dashboards/5694ca60-cbdf-11ec-a50a-5fedd672f5c5.json,0,0,452
Python,./scripts/zeek_script_to_malcolm_boilerplate.py,50,66,448
Python,./shared/bin/configure-interfaces.py,87,52,428
JSON,./dashboards/dashboards/7f41913f-cba8-43f5-82a8-241b7ead03e0.json,0,0,424
JSON,./dashboards/dashboards/1cc01ff0-5205-11ec-a62c-7bc80e88f3f0.json,0,0,422
Python,./shared/bin/pcap_watcher.py,69,53,414
HTML,./name-map-ui/site/index.html,57,5,404
JSON,./dashboards/dashboards/0a490422-0ce9-44bf-9a2d-19329ddde8c3.json,0,0,392
JSON,./dashboards/dashboards/2d98bb8e-214c-4374-837b-20e1bcd63a5e.json,0,0,389
JSON,./dashboards/dashboards/ae79b7d1-4281-4095-b2f6-fa7eafda9970.json,0,0,388
JSON,./dashboards/dashboards/af5df620-eeb6-11e9-bdef-65a192b7f586.json,0,0,388
JSON,./dashboards/dashboards/4e5f106e-c60a-4226-8f64-d534abb912ab.json,0,0,387
JSON,./dashboards/dashboards/92985909-dc29-4533-9e80-d3182a0ecf1d.json,0,0,387
JSON,./dashboards/dashboards/11ddd980-e388-11e9-b568-cf17de8e860c.json,0,0,386
JSON,./dashboards/dashboards/078b9aa5-9bd4-4f02-ae5e-cf80fa6f887b.json,0,0,385
JSON,./dashboards/dashboards/03207c00-d07e-11ec-b4a7-d1b4003706b7.json,0,0,384
JSON,./dashboards/dashboards/9ee51f94-3316-4fc5-bd89-93a52af69714.json,0,0,384
Python,./dashboards/scripts/index-refresh.py,47,62,377
Text,./zeek/config/guess_ics_map.txt,0,0,360
JSON,./dashboards/dashboards/4a073440-b286-11eb-a4d4-09fa12a6ebd4.json,0,0,355
JSON,./dashboards/dashboards/bf5efbb0-60f1-11eb-9d60-dbf0411cfc48.json,0,0,354
JSON,./dashboards/dashboards/11be6381-beef-40a7-bdce-88c5398392fc.json,0,0,352
JSON,./dashboards/dashboards/76f2f912-80da-44cd-ab66-6a73c8344cc3.json,0,0,352
Python,./shared/bin/zeek_carve_scanner.py,61,49,346
JSON,./dashboards/dashboards/12e3a130-d83b-11eb-a0b0-f328ce09b0b7.json,0,0,341
JSON,./dashboards/dashboards/beats/Metricbeat-system-overview.json,0,0,323
JSON,./dashboards/dashboards/bed185a0-ef82-11e9-b38a-2db3ee640e88.json,0,0,322
JSON,./dashboards/dashboards/c2549e10-7f2e-11ea-9f8a-1fe1327e2cd2.json,0,0,318
JSON,./dashboards/dashboards/beats/Filebeat-nginx-overview.json,0,0,316
JSON,./dashboards/dashboards/fa141950-ef89-11e9-b38a-2db3ee640e88.json,0,0,316
JSON,./dashboards/dashboards/665d1610-523d-11e9-a30e-e3576242f3ed.json,0,0,314
JSON,./dashboards/dashboards/a33e0a50-afcd-11ea-993f-b7d8522a8bed.json,0,0,314
SVG,./docs/images/logo/malcolm_logo.svg,0,0,296
PowerShell,./scripts/third-party-logs/fluent-bit-setup.ps1,40,54,292
JSON,./dashboards/dashboards/1fff49f6-0199-4a0f-820b-721aff9ff1f1.json,0,0,281
JSON,./dashboards/dashboards/32587740-ef88-11e9-b38a-2db3ee640e88.json,0,0,281
Python,./shared/bin/zeek_carve_logger.py,50,43,280
JSON,./dashboards/dashboards/beats/7a7e0a60-e8e8-11ec-b9d4-4569bb965430.json,0,0,278
SVG,./malcolm-iso/config/bootloaders/syslinux_common/splash.svg,0,0,278
Python,./shared/bin/opensearch_index_size_prune.py,32,38,277
Bourne Shell,./scripts/demo/reset_and_auto_populate.sh,51,59,276
Markdown,./docs/hedgehog-upgrade.md,62,0,268
Markdown,./docs/third-party-logs.md,59,0,268
CSS,./docs/doc.css,60,0,264
SVG,./docs/images/icon/malcolm_mark_dashboards.svg,0,0,260
JSON,./netbox/device-roles-defaults.json,0,0,260
Bourne Again Shell,./sensor-iso/config/hooks/normal/0910-sensor-build.hook.chroot,49,51,260
JSON,./dashboards/dashboards/50ced171-1b10-4c3f-8b67-2db9635661a6.json,0,0,246
Markdown,./docs/ubuntu-install-example.md,90,0,244
SVG,./sensor-iso/config/bootloaders/syslinux_common/splash.svg,0,0,244
JSON,./sensor-iso/interface/sensor_interface/static/dashboard/dashboard.json,0,0,241
Dockerfile,./Dockerfiles/zeek.Dockerfile,27,25,236
Python,./logstash/scripts/ip-to-segment-logstash.py,37,32,236
JSON,./dashboards/templates/composable/component/miscbeat.json,0,0,235
Python,./shared/bin/zeek_carve_watcher.py,49,43,231
Text,./docs/images/hedgehog/logo/font/ubuntucondensed/FONTLOG.txt,62,0,230
JSON,./filebeat/scripts/zeek-log-fields.json,2,0,229
YAML,./logstash/maps/service_ports.yaml,0,0,220
Text,./docs/images/hedgehog/logo/font/ubuntumono/FONTLOG.txt,57,0,217
Dockerfile,./Dockerfiles/file-monitor.Dockerfile,20,2,216
JSON,./dashboards/dashboards/beats/903f42c0-f634-11ec-828d-2fb7a4a26e1f.json,0,0,213
JSON,./dashboards/dashboards/beats/db0312a0-e842-11ec-88e0-67bf497b7120.json,0,0,212
JSON,./dashboards/dashboards/0aed0e23-c8ac-4f2b-9f68-d04b6e7666b0.json,0,0,210
JSON,./dashboards/dashboards/1ce42250-3f99-11e9-a58e-8bdedb0915e8.json,0,0,210
JSON,./dashboards/dashboards/39abfe30-3f99-11e9-a58e-8bdedb0915e8.json,0,0,210
JSON,./dashboards/dashboards/60d78fbd-471c-4f59-a9e3-189b33a13644.json,0,0,210
JSON,./dashboards/dashboards/77fc9960-3f99-11e9-a58e-8bdedb0915e8.json,0,0,210
JSON,./dashboards/dashboards/87d990cc-9e0b-41e5-b8fe-b10ae1da0c85.json,0,0,210
